epoch,loss,apl_total,fn_total,fp_total,path_recall,path_precision,path_f1,est_mending_time
1,0.067635,280.0,95.0,185.0,0.9468,0.929,0.9364,13.11
2,0.06535,281.0,77.0,204.0,0.9558,0.9273,0.9397,13.14
3,0.067626,274.0,55.0,219.0,0.9663,0.9253,0.943,12.92
4,0.061194,280.0,54.0,226.0,0.9654,0.9227,0.9412,13.11
5,0.062035,292.0,58.0,234.0,0.9639,0.9154,0.9366,13.47
6,0.06096,277.0,56.0,221.0,0.9657,0.9155,0.9379,13.01
7,0.0651,297.0,73.0,224.0,0.9562,0.9116,0.9313,13.62
8,0.059884,331.0,90.0,241.0,0.9494,0.9054,0.9249,14.6
9,0.061401,342.0,88.0,254.0,0.95,0.9008,0.9226,14.92
10,0.06393,360.0,92.0,268.0,0.9458,0.8918,0.9158,15.42
11,0.060944,351.0,92.0,259.0,0.9458,0.8962,0.9182,15.17
12,0.063257,362.0,92.0,270.0,0.9466,0.892,0.9163,15.48
13,0.062247,387.0,111.0,276.0,0.9359,0.8871,0.9087,16.16
